,accessibilité,adresse,alt,architecte,artiste,bouches,code,construction,corresp 1,corresp 2,corresp 3,corresp 4,corresp 5,exploitant,fermeture,géolocalisation,image,latitude,ligne,ligne  1,ligne 1,ligne 2,ligne 3,ligne 4,ligne 5,longitude,longueur,légende,mise en service,nom,nom inaugural,pays,position,propriétaire,quais,quartier,station précédente 1,station précédente 2,station précédente 3,station précédente 4,station précédente 5,station suivante 1,station suivante 2,station suivante 3,station suivante 4,station suivante 5,subdivision,taille image,titre corresp 1,titre corresp 2,titre corresp 3,titre corresp 4,titre corresp 5,titre quartier,titre subdivision,transit,url,ville,voies,zone
Michel-Ange - Auteuil (métro de Paris),,,,,,,07-09,,['Bus RATP/correspondances nombreuses avec intitulé|52|62'],,,,,RATP,,Paris/16e arrondissement de Paris,Metro Paris - Ligne 9 - station Michel-Ange - Auteuil 01.jpg,48.84777129258516,['Métro de Paris/correspondances|9|10'],,['Métro de Paris/correspondance|9'],['Métro de Paris/correspondance|10'],,,,2.2638702392578125,,"['Ligne 9 du métro de Paris|ligne 9', ""Pont de Sèvres (métro de Paris)|''Pont de Sèvres''""]","['Métro de Paris/correspondances|8', 'Métro de Paris/correspondances|10', 'Date|30|septembre|1913|dans les chemins de fer', 'Métro de Paris/correspondances|9', 'Date|8|novembre|1922|dans les chemins de fer']",Michel-Ange - Auteuil,,['France'],,['Régie autonome des transports parisiens|RATP'],3.0,['e'],['Michel-Ange - Molitor (métro de Paris)|Michel-Ange - Molitor'],"[""Porte d'Auteuil (métro de Paris)|Porte d'Auteuil""]",,,,['Jasmin (métro de Paris)|Jasmin'],"[""Église d'Auteuil (métro de Paris)|Église d'Auteuil""]",,,,,,Bus,,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:2222709'],https://fr.wikipedia.org/w/index.php?title=Michel-Ange_-_Auteuil_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],4.0,1.0
Michel-Ange - Molitor (métro de Paris),,"['rue Michel-Ange', 'rue Molitor']",,,,,710.0,,['Bus RATP/correspondances avec intitulé|62'],,,,,['Régie autonome des transports parisiens|RATP'],,Paris/16e arrondissement de Paris,Michel-Ange Molitor 9 (métro Paris) Sèvres par Cramos.JPG,48.84496,['Métro de Paris/correspondances|9|10'],,['Métro de Paris/correspondance|9'],['Métro de Paris/correspondance|10'],,,,2.261194,,Quai de la ligne 9.,"['Métro de Paris/correspondances|8', 'Métro de Paris/correspondances|10|', 'Date|30 septembre 1913|dans les chemins de fer', 'Métro de Paris/correspondances|9', 'Date|8 novembre 1922|dans les chemins de fer']",Michel-Ange - Molitor,,['France'],Souterraine,['Régie autonome des transports parisiens|RATP'],3.0,['e'],['Exelmans (métro de Paris)|Exelmans'],['Boulogne - Jean Jaurès (métro de Paris)|Boulogne - Jean Jaurès'],,,,['Michel-Ange - Auteuil (métro de Paris)|Michel-Ange - Auteuil'],['Chardon-Lagache (métro de Paris)|Chardon-Lagache'],,,,,,Bus,,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:2097256'],https://fr.wikipedia.org/w/index.php?title=Michel-Ange_-_Molitor_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],4.0,1.0
Mirabeau (métro de Paris),,,,,,,712.0,,['Bus RATP/correspondances avec intitulé|22|62|72'],['Noctilien/correspondances avec intitulé|N12|N61'],,,,['Régie autonome des transports parisiens|RATP'],,Paris/16e arrondissement de Paris,Paris 16 - Station Mirabeau -1.JPG,48.846738722107226,['Métro de Paris/correspondances avec intitulé|10'],['Métro de Paris/correspondances avec intitulé|10'],,,,,,2.2717076539993286,,Une des entrées de la station.,"['30 septembre dans les chemins de fer|30 septembre', '1913 dans les chemins de fer|1913']",Mirabeau,,['France'],,['Régie autonome des transports parisiens|RATP'],1.0,['16e'],['Chardon-Lagache (métro de Paris)|Chardon-Lagache'],,,,,['Javel - André Citroën (métro de Paris)|Javel - André Citroën'],,,,,,,Bus,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:1420987'],https://fr.wikipedia.org/w/index.php?title=Mirabeau_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,
Miromesnil (métro de Paris),,,,,,,18-04,,['Bus RATP/correspondances nombreuses avec intitulé|28|32|52|80|93'],['Noctilien/correspondances avec intitulé|N01|N02|N53'],,,,['Régie autonome des transports parisiens|RATP'],,Paris/8e arrondissement de Paris,Entrée Métro Miromesnil Paris 7.jpg,48.87366684233027,['Métro de Paris/correspondances|9|13'],,['Métro de Paris/correspondance|9'],['Métro de Paris/correspondance|13'],,,,2.314464747905731,,"['rue de Miromesnil', 'rue La Boétie']","['date|27|mai|1923|dans les chemins de fer', 'Métro de Paris/correspondances|9', 'date|27|avril|1973|dans les chemins de fer', 'Métro de Paris/correspondances|13']",Miromesnil,,['France'],,['Régie autonome des transports parisiens|RATP'],4.0,['e'],['Saint-Philippe du Roule (métro de Paris)|Saint-Philippe du Roule'],['Saint-Lazare (métro de Paris)|Saint-Lazare'],,,,['Saint-Augustin (métro de Paris)|Saint-Augustin'],['Champs-Élysées - Clemenceau (métro de Paris)|Champs-Élysées - Clemenceau'],,,,,,Bus,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:5916541'],https://fr.wikipedia.org/w/index.php?title=Miromesnil_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],4.0,1.0
Monceau (métro de Paris),,,,,,,602.0,,['Bus RATP/correspondances avec intitulé|30|'],,,,,RATP,,Ligne 2 du métro de Paris/Paris/17e arrondissement de Paris/8e arrondissement de Paris,Metro - Paris - Ligne 2 - station Monceau 01.jpg,48.880319,['Métro de Paris/correspondance|2'],,['Métro de Paris/correspondance|2'],,,,,2.308603,,['Hector Guimard|Guimard'],['Date|7|octobre|1902|dans les chemins de fer'],Monceau,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Courcelles (métro de Paris)|Courcelles'],,,,,['Villiers (métro de Paris)|Villiers'],,,,,,,Bus RATP,,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:1654418'],https://fr.wikipedia.org/w/index.php?title=Monceau_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Montgallet (métro de Paris),,,,,,,12-03,,['Bus RATP/correspondances avec intitulé|46'],,,,,RATP,,Paris/12e arrondissement de Paris,Station métro Montgallet - 20130606 160228.jpg,48.84427635273555,['Métro de Paris/correspondance|8'],,['Métro de Paris/correspondance|8'],,,,,2.389974296092987,,Accès à la station.,['Date|5 mai 1931|dans les chemins de fer'],Montgallet,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Reuilly - Diderot (métro de Paris)|Reuilly - Diderot'],,,,,['Daumesnil (métro de Paris)|Daumesnil'],,,,,,,"[""Autobus d'Île-de-France|Bus""]",,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:1864016'],https://fr.wikipedia.org/w/index.php?title=Montgallet_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Montparnasse - Bienvenüe (métro de Paris),,,,,,,408.0,,"['Transilien/correspondances avec intitulé|N', 'gare de Paris-Montparnasse|Paris-Montparnasse']","['Bus RATP/correspondances avec intitulé|28|39|58|59|82|89', 'Bus RATP/correspondances|91|92|94|95|96|OpenTour ']","['Noctilien/correspondances avec intitulé|N01|N02|N12|N13|N61', 'Noctilien/correspondances|N62|N63|N66|N145']",['Bus Optile/correspondances avec intitulé|Le Bus Direct|1|4'],,RATP,,Paris/15e arrondissement de Paris/14e arrondissement de Paris/6e arrondissement de Paris,Metro Paris - Ligne 6 - station Montparnasse - Bienvenue 01.jpg,48.843466,['Métro de Paris/correspondances|4|6|12|13'],,['Métro de Paris/correspondance|4'],['Métro de Paris/correspondance|6'],['Métro de Paris/correspondance|12'],['Métro de Paris/correspondance|13'],,2.323072,"['Métro de Paris/correspondance|4', 'Unité|90|m', 'Métro de Paris/correspondance|6', 'Métro de Paris/correspondance|12', 'Métro de Paris/correspondance|13', 'Unité|75|m']",Les quais de la ligne 6.,['date|24|avril|1906|dans les chemins de fer'],Montparnasse - Bienvenüe,,['France'],,['Régie autonome des transports parisiens|RATP'],8.0,"['e', 'e', 'e']",['Saint-Placide (métro de Paris)|Saint-Placide'],['Pasteur (métro de Paris)|Pasteur'],['Notre-Dame-des-Champs (métro de Paris)|Notre-Dame-des-Champs'],['Duroc (métro de Paris)|Duroc'],,['Vavin (métro de Paris)|Vavin'],['Edgar Quinet (métro de Paris)|Edgar Quinet'],['Falguière (métro de Paris)|Falguière'],['Gaîté (métro de Paris)|Gaîté'],,,,Transilien,Bus,Noctilien,['Réseau de bus Le Bus Direct|Le Bus Direct'],,['Arrondissements de Paris|Arrondissement'],,['formatnum:31919734'],https://fr.wikipedia.org/w/index.php?title=Montparnasse_-_Bienven%C3%BCe_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],8.0,1.0
Mouton-Duvernet (métro de Paris),,,,,,,1504.0,,['Bus RATP/correspondances nombreuses avec intitulé|38|68'],['Noctilien/correspondances avec intitulé|N14|N21'],,,,RATP,,Paris/14e arrondissement de Paris,Metro Paris ligne 4 - Mouton - Duvernet - Entree.jpg,48.8314,['Métro de Paris/correspondance|4'],,['Métro de Paris/correspondance|4'],,,,,2.3299,,['édicule Guimard'],"['30 octobre dans les chemins de fer|30 octobre', '1909 dans les chemins de fer|1909']",Mouton-Duvernet,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Denfert-Rochereau (métro de Paris)|Denfert-Rochereau'],,,,,['Alésia (métro de Paris)|Alésia'],,,,,,,Bus,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:1688932'],https://fr.wikipedia.org/w/index.php?title=Mouton-Duvernet_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Nation (métro de Paris),,,,,,,510.0,,['RER/correspondances avec intitulé|A'],['Bus RATP/correspondances avec intitulé|26|56|57|71|86|215|351'],['Noctilien/correspondances avec intitulé|N11'],,,RATP,,Paris/12e arrondissement de Paris/11e arrondissement de Paris,Guimard Nation Dorian.jpg,48.8484657505532,['Métro de Paris/correspondances|1|2|6|9'],,['Métro de Paris/correspondance|1'],['Métro de Paris/correspondance|2'],['Métro de Paris/correspondance|6'],['Métro de Paris/correspondance|9'],,2.39590574456544,"['Métro de Paris/correspondances|1', 'Métro de Paris/correspondances|9', 'Unité|105|m', 'Métro de Paris/correspondances|2', 'Métro de Paris/correspondances|6', 'Unité|75|m']","['édicule Guimard', 'place de la Nation', 'avenue Dorian']","['Métro de Paris/correspondance|1', 'Date|19|juillet|1900|dans les chemins de fer', 'Métro de Paris/correspondance|2', 'Date|2|avril|1903|dans les chemins de fer', 'Métro de Paris/correspondance|6', 'Date|1|mars|1909|dans les chemins de fer', 'Métro de Paris/correspondance|9', 'Date|10|décembre|1933|dans les chemins de fer']",Nation,,['France'],,['Régie autonome des transports parisiens|RATP'],6.0,"['e', 'e']",['Reuilly - Diderot (métro de Paris)|Reuilly - Diderot'],['Avron (métro de Paris)|Avron'],['Picpus (métro de Paris)|Picpus'],['Rue des Boulets (métro de Paris)|Rue des Boulets'],,['Porte de Vincennes (métro de Paris)|Porte de Vincennes'],'''Terminus''','''Terminus''',['Buzenval (métro de Paris)|Buzenval'],,,,RER,Bus RATP,Noctilien,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:9541406'],https://fr.wikipedia.org/w/index.php?title=Nation_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],8.0,1.0
Nationale (métro de Paris),,,,,,,1411.0,,['Bus RATP/correspondances nombreuses avec intitulé|27|61'],['Noctilien/correspondances avec intitulé|N31'],,,,['Régie autonome des transports parisiens|RATP'],,Paris/13e arrondissement de Paris,P7250082 Paris XIII statin nationale reductwk.JPG,48.83318271599599,['Métro de Paris/correspondance|6'],,['Métro de Paris/correspondance|6'],,,,,2.3627176880836487,,"[""Nation (métro de Paris)|''Nation''""]",['date|1|mars|1909|dans les chemins de fer'],Nationale,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],"[""Place d'Italie (métro de Paris)|Place d'Italie""]",,,,,['Chevaleret (métro de Paris)|Chevaleret'],,,,,,,"[""Autobus d'Île-de-France|Bus""]",['Noctilien'],,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:2710907'],https://fr.wikipedia.org/w/index.php?title=Nationale_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
