,accessibilité,adresse,alt,architecte,artiste,bouches,code,construction,corresp 1,corresp 2,corresp 3,corresp 4,corresp 5,exploitant,fermeture,géolocalisation,image,latitude,ligne,ligne  1,ligne 1,ligne 2,ligne 3,ligne 4,ligne 5,longitude,longueur,légende,mise en service,nom,nom inaugural,pays,position,propriétaire,quais,quartier,station précédente 1,station précédente 2,station précédente 3,station précédente 4,station précédente 5,station suivante 1,station suivante 2,station suivante 3,station suivante 4,station suivante 5,subdivision,taille image,titre corresp 1,titre corresp 2,titre corresp 3,titre corresp 4,titre corresp 5,titre quartier,titre subdivision,transit,url,ville,voies,zone
Abbesses (métro de Paris),,,,,,,3105.0,,['Funiculaire de Montmartre/correspondance'],['Bus RATP/correspondances nombreuses avec intitulé|40'],,,,RATP,,Paris/18e arrondissement de Paris,Abbesses Metro.jpg,48.8844176451841,['Métro de Paris/correspondance|12'],,['Métro de Paris/correspondance|12'],,,,,2.33871281165883,,['Société du chemin de fer électrique souterrain Nord-Sud de Paris|Nord-Sud'],['Date|30 janvier 1913|dans les chemins de fer'],Abbesses<br /><small>''Butte Montmartre''</small>,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Lamarck - Caulaincourt (métro de Paris)|Lamarck - Caulaincourt'],,,,,['Pigalle (métro de Paris)|Pigalle'],,,,,,,Funiculaire,Bus,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:2588279'],https://fr.wikipedia.org/w/index.php?title=Abbesses_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Alésia (métro de Paris),,,,,,,15-05,,"['Bus RATP/correspondances nombreuses avec intitulé|38|62|68|92', 'Bus RATP/correspondances|Traverse Bièvre Montsouris']",['Noctilien/correspondances avec intitulé|N14|N21|N66'],,,,RATP,,Paris/14e arrondissement de Paris,Alésia (métro Paris) vers Clignancourt par Cramos.JPG,48.828398514348,['Métro de Paris/correspondance|4'],,['Métro de Paris/correspondance|4'],,,,,2.32674567371924,,Quais de la station en 2006.,"['30 octobre dans les chemins de fer|30 octobre', '1909 dans les chemins de fer|1909']",Alésia,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Mouton-Duvernet (métro de Paris)|Mouton-Duvernet'],,,,,"[""Porte d'Orléans (métro de Paris)|Porte d'Orléans""]",,,,,,,Bus,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:5237657'],https://fr.wikipedia.org/w/index.php?title=Al%C3%A9sia_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Alexandre Dumas (métro de Paris),,,,,,,513.0,,['Bus RATP/correspondances nombreuses avec intitulé|76'],,,,,RATP,,Ligne 2 du métro de Paris/Paris/20e arrondissement de Paris/11e arrondissement de Paris,Metro de Paris - Ligne 2 - Alexandre Dumas 03.jpg,48.8561744489676,['Métro de Paris/correspondance|2'],,['Métro de Paris/correspondance|2'],,,,,2.3949898158233,,Vue d'ensemble des quais en direction de Porte Dauphine.,['Date|31|janvier|1903|dans les chemins de fer'],Alexandre Dumas,Bagnolet,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Philippe Auguste (métro de Paris)|Philippe Auguste'],,,,,['Avron (métro de Paris)|Avron'],,,,,,,Bus RATP,,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:3919412'],https://fr.wikipedia.org/w/index.php?title=Alexandre_Dumas_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Alma - Marceau (métro de Paris),,,,,,,18-03,,"['RER/correspondances|C', ""Gare du Pont de l'Alma|Pont de l'Alma""]",['Bus RATP/correspondances nombreuses avec intitulé|42|63|72|80|92'],,,,RATP,,Paris/8e arrondissement de Paris,AX 9 Alma Marceau 20080715.jpg,48.864904,['Métro de Paris/correspondance|9'],,['Métro de Paris/correspondance|9'],,,,,2.300234,,,['Date|27|mai|1923|dans les chemins de fer'],Alma - Marceau,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Iéna (métro de Paris)|Iéna'],,,,,['Franklin D. Roosevelt (métro de Paris)|Franklin D. Roosevelt'],,,,,,,"[""Réseau express régional d'Île-de-France|RER""]",Bus RATP,,,,Arrondissement,,['formatnum:4060044'],https://fr.wikipedia.org/w/index.php?title=Alma_-_Marceau_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,
Anatole France (métro de Paris),,,,,,,2914.0,,['Bus RATP/correspondances avec intitulé|174|274'],['Noctilien/correspondances avec intitulé|N16|N52'],,,,RATP,,Paris et la petite couronne,Metro de Paris - Ligne 3 - Anatole France 05.jpg,48.892022,['Métro de Paris/correspondance|3'],,['Métro de Paris/correspondance|3'],,,,,2.285536,,,['Date|24|septembre|1937|dans les chemins de fer'],Anatole France,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,,['Pont de Levallois - Bécon (métro de Paris)|Pont de Levallois - Bécon'],,,,,['Louise Michel (métro de Paris)|Louise Michel'],,,,,,,Bus RATP,Noctilien,,,,,,['formatnum:3866326'],https://fr.wikipedia.org/w/index.php?title=Anatole_France_(m%C3%A9tro_de_Paris)&action=raw,['Levallois-Perret'],2.0,2.0
Anvers (métro de Paris),,,,,,,3104.0,,['Funiculaire de Montmartre/correspondance'],['Bus RATP/correspondances avec intitulé|54|85|OpenTour'],['Noctilien/correspondances avec intitulé|N01|N02'],,,RATP,,Ligne 2 du métro de Paris/Paris/18e arrondissement de Paris/9e arrondissement de Paris,Anvers Metro Entrance.jpg,48.883007126386076,['Métro de Paris/correspondance|2'],,['Métro de Paris/correspondance|2'],,,,,2.3448488116264343,,Édicule Guimard de l'entrée de la station.,['Date|7|octobre|1902|dans les chemins de fer'],Anvers<br /><small>''Sacré-Cœur''</small>,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Pigalle (métro de Paris)|Pigalle'],,,,,['Barbès - Rochechouart (métro de Paris)|Barbès - Rochechouart'],,,,,,,Funiculaire,Bus RATP,Noctilien,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:6888848'],https://fr.wikipedia.org/w/index.php?title=Anvers_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Argentine (métro de Paris),,,,,,,1811.0,,['Bus RATP/correspondances nombreuses avec intitulé|73'],['Noctilien/correspondances avec intitulé|N11|N24'],,,,RATP,,Paris/17e arrondissement de Paris/16e arrondissement de Paris,Metro de Paris - Ligne 1 - Argentine (2).jpg,48.875533092935,['Métro de Paris/correspondance|1'],,['Métro de Paris/correspondance|1'],,,,,2.2893216639617,90 m,Une des plaques décoratives de la station après la rénovation de 2008.,"['1er', '1900 dans les chemins de fer|1900']",Argentine,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Porte Maillot (métro de Paris)|Porte Maillot'],,,,,['Charles de Gaulle - Étoile (métro de Paris)|Charles de Gaulle - Étoile'],,,,,,,Bus,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:2932686'],https://fr.wikipedia.org/w/index.php?title=Argentine_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Arts et Métiers (métro de Paris),,,,,,,803.0,,['Bus RATP/correspondances avec intitulé|20|38|47|75'],['Noctilien/correspondances avec intitulé|N12|N23'],,,,RATP,,Paris/3e arrondissement de Paris,Paris-ArtetMetiers.jpg,48.8655,['Métro de Paris/correspondances|3|11'],,['Métro de Paris/correspondance|3'],['Métro de Paris/correspondance|11'],,,,2.3561,,Quai carrossé de cuivre de la ligne 11.,"['Date|19|octobre|1904|dans les chemins de fer', 'Métro de Paris/correspondance|3', 'Date|28|avril|1935|dans les chemins de fer', 'Métro de Paris/correspondance|11']",Arts et Métiers,,['France'],,['Régie autonome des transports parisiens|RATP'],4.0,['e'],['Réaumur - Sébastopol (métro de Paris)|Réaumur - Sébastopol'],['Rambuteau (métro de Paris)|Rambuteau'],,,,['Temple (métro de Paris)|Temple'],['République (métro de Paris)|République'],,,,,,Bus RATP,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:4036745'],https://fr.wikipedia.org/w/index.php?title=Arts_et_M%C3%A9tiers_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],4.0,1.0
Assemblée nationale (métro de Paris),,,,,,,10-13,,['Bus RATP/correspondances nombreuses avec intitulé|63|73|83|84|87|94'],['Noctilien/correspondances avec intitulé|N01|N02'],,,,['Régie autonome des transports parisiens|RATP'],,Paris/7e arrondissement de Paris,Assemblée Nationale par Cramos.JPG,48.860654569523334,['Métro de Paris/correspondance|12'],,,,,,,2.3211300373077393,,Quais de la station en 2016.,"['5 novembre dans les chemins de fer|5 novembre', '1910 dans les chemins de fer|1910']",Assemblée nationale,Chambre des députés,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Concorde (métro de Paris)|Concorde'],,,,,['Solférino (métro de Paris)|Solférino'],,,,,,,Bus,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:739282'],https://fr.wikipedia.org/w/index.php?title=Assembl%C3%A9e_nationale_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Aubervilliers - Pantin - Quatre Chemins (métro de Paris),,,,,,,03-05,,['Bus RATP/correspondances avec intitulé|150|152|170|249|330'],['Noctilien/correspondances avec intitulé|N42'],,,,RATP,,Paris et la petite couronne,4chemins-quais.jpg,48.90389694033926,['Métro de Paris/correspondance|7'],,['Métro de Paris/correspondance|7'],,,,,2.392495572566986,,,['Date|4|octobre|1979|dans les chemins de fer'],Aubervilliers - Pantin -<br />Quatre Chemins,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,,"[""Fort d'Aubervilliers (métro de Paris)|Fort d'Aubervilliers""]",,,,,['Porte de la Villette (métro de Paris)|Porte de la Villette'],,,,,,,Bus RATP,Noctilien,,,,,,['formatnum:7131674'],https://fr.wikipedia.org/w/index.php?title=Aubervilliers_-_Pantin_-_Quatre_Chemins_(m%C3%A9tro_de_Paris)&action=raw,"['Aubervilliers', 'Pantin']",2.0,2.0
Avenue Émile-Zola (métro de Paris),,,,,,,17-06,,['Noctilien/correspondances avec intitulé|N12|N61'],,,,,['Régie autonome des transports parisiens|RATP'],,Paris/15e arrondissement de Paris,Avenue Émile Zola métro 02.jpg,48.846977009491965,['Métro de Paris/correspondances|10'],,['Métro de Paris/correspondances|10'],,,,,2.2945117950439453,,"[""Boulogne - Pont de Saint-Cloud (métro de Paris)|''Boulogne - Pont de Saint-Cloud''""]",['Date|13 juillet 1913|dans les chemins de fer'],Avenue Émile-Zola,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Charles Michels (métro de Paris)|Charles Michels'],,,,,['La Motte-Picquet - Grenelle (métro de Paris)|La Motte-Picquet - Grenelle'],,,,,,,Noctilien,,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:1476223'],https://fr.wikipedia.org/w/index.php?title=Avenue_%C3%89mile-Zola_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,
Avron (métro de Paris),,,,,,,05-12,,['Bus RATP/correspondances avec intitulé|57'],,,,,RATP,,Ligne 2 du métro de Paris/Paris/20e arrondissement de Paris/11e arrondissement de Paris,Paris station Avron 2009.jpg,48.8519401896706,['Métro de Paris/correspondance|2'],,['Métro de Paris/correspondance|2'],,,,,2.397862672805786,,['Porte Dauphine (métro de Paris)|Porte Dauphine'],['Date|2|avril|1903|dans les chemins de fer'],Avron,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Alexandre Dumas (métro de Paris)|Alexandre Dumas'],,,,,['Nation (métro de Paris)|Nation'],,,,,,,Bus RATP,,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:1907820'],https://fr.wikipedia.org/w/index.php?title=Avron_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Balard (métro de Paris),,,,,,,1609.0,,"[""Tramway d'Île-de-France/correspondances avec intitulé|2"", ""Tramway d'Île-de-France/correspondances avec intitulé|3a""]","['Bus RATP/correspondances avec intitulé|30|39|42|88|169', 'Noctilien/correspondances avec intitulé|N13|N62|N145']",,,,['Régie autonome des transports parisiens|RATP'],,Paris/15e arrondissement de Paris,Station métro Balard - IMG 3627.jpg,48.8362754634973,['Métro de Paris/correspondances avec intitulé|8'],,['Métro de Paris/correspondance|8'],,,,,2.27821832700082,['Unité|105|m'],Accès principal de la station.,['date-|27|juillet|1937'],Balard,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],'''Terminus''',,,,,['Lourmel (métro de Paris)|Lourmel'],,,,,,,"[""Tramway d'Île-de-France|Tramway""]","[""Autobus d'Île-de-France|Bus""]",,,,['Arrondissements de Paris|Arrondissement'],,['Unité|4994071|voyageurs'],https://fr.wikipedia.org/w/index.php?title=Balard_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],3.0,1.0
Barbès - Rochechouart (métro de Paris),,,,,,,2107.0,,['Bus RATP/correspondances avec intitulé|31|54|56|85'],['Noctilien/correspondances avec intitulé|N01|N02|N14|N44'],,,,RATP,,Paris/18e arrondissement de Paris/10e arrondissement de Paris/9e arrondissement de Paris,Metro-Paris-Ligne-2-station.jpg,48.88364,['Métro de Paris/correspondances|2|4'],,['Métro de Paris/correspondance|2'],['Métro de Paris/correspondance|4'],,,,2.350516,,,"['Date|26|mars|1903|dans les chemins de fer', 'Métro de Paris/correspondance|2', 'Date|21|avril|1908|dans les chemins de fer', 'Métro de Paris/correspondance|4']",Barbès - Rochechouart,,['France'],,['Régie autonome des transports parisiens|RATP'],4.0,"['e', 'e', 'e']",['Anvers (métro de Paris)|Anvers'],['Château Rouge (métro de Paris)|Château Rouge'],,,,['La Chapelle (métro de Paris)|La Chapelle'],['Gare du Nord (métro de Paris)|Gare du Nord'],,,,,,Bus RATP,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:8392009'],https://fr.wikipedia.org/w/index.php?title=Barb%C3%A8s_-_Rochechouart_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],4.0,1.0
Basilique de Saint-Denis (métro de Paris),,,,,,,1915.0,,"[""Tramway d'Île-de-France/correspondances avec intitulé|1|5"", ""Marché de Saint-Denis (tramway d'Île-de-France)|Marché de Saint-Denis""]",['Bus RATP/correspondances nombreuses avec intitulé|153|239|253|255'],['Bus Optile/correspondances avec intitulé|CIF|11'],['Noctilien/correspondances avec intitulé|N44'],,['Régie autonome des transports parisiens|RATP'],,Paris et la petite couronne/Seine-Saint-Denis,Plaque signalétique Basilique de Saint-Denis Métro 2019.jpg,48.938099565989496,['Métro de Paris/correspondances  avec intitulé|13'],,['Métro de Paris/correspondances  avec intitulé|13'],,,,,2.3608455061912537,,Plaque signalétique rétroéclairée du nom de la station.,['date|20|juin|1976'],Basilique de Saint-Denis <br /><small>''Hôtel de Ville''</small>,Saint-Denis - Basilique,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,,['Saint-Denis - Université (métro de Paris)|Saint-Denis - Université'],,,,,['Saint-Denis - Porte de Paris (métro de Paris)|Saint-Denis - Porte de Paris'],,,,,,,"[""Tramway d'Île-de-France|Tramway""]",Bus,['Réseau de bus CIF|CIF'],Noctilien,,,,['formatnum:5393138'],https://fr.wikipedia.org/w/index.php?title=Basilique_de_Saint-Denis_(m%C3%A9tro_de_Paris)&action=raw,['Saint-Denis (Seine-Saint-Denis)|Saint-Denis'],2.0,3.0
Bastille (métro de Paris),,,,,,,1212.0,,"['Bus RATP/correspondances nombreuses avec intitulé|29|69|76|86', 'Bus RATP/correspondances|87|91|OpenTour']",['Noctilien/correspondances avec intitulé|N01|N02|N11|N16|N144'],,,,['Régie autonome des transports parisiens|RATP'],,Paris/12e arrondissement de Paris/11e arrondissement de Paris/4e arrondissement de Paris,Ligne_1_bastille_RATP.jpg,48.853082,['Métro de Paris/correspondances|1|5|8'],,['Métro de Paris/correspondance|1'],['Métro de Paris/correspondance|5'],['Métro de Paris/correspondance|8'],,,2.369077,"['Métro de Paris/correspondance|1', 'Unité|125|m', 'Métro de Paris/correspondance|5', 'Unité|75|m', 'Métro de Paris/correspondance|8', 'Unité|105|m']",Quai de la ligne 1.,"['Métro de Paris/correspondances|1', 'Date|19|juillet|1900|dans les chemins de fer', 'Métro de Paris/correspondances|5', 'Date|17|décembre|1906|dans les chemins de fer', 'Métro de Paris/correspondances|8', 'Date|5|mai|1931|dans les chemins de fer']",Bastille,,['France'],,['Régie autonome des transports parisiens|RATP'],6.0,"['e', 'e', 'e']",['Saint-Paul (métro de Paris)|Saint-Paul'],['Bréguet - Sabin (métro de Paris)|Bréguet - Sabin'],['Chemin Vert (métro de Paris)|Chemin Vert'],,,['Gare de Lyon (métro de Paris)|Gare de Lyon'],['Quai de la Rapée (métro de Paris)|Quai de la Rapée'],['Ledru-Rollin (métro de Paris)|Ledru-Rollin'],,,,,Bus,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:13706765'],https://fr.wikipedia.org/w/index.php?title=Bastille_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],6.0,1.0
Bel-Air (métro de Paris),,,,,,,1312.0,,,,,,,['Régie autonome des transports parisiens|RATP'],,Paris/12e arrondissement de Paris,Bel-Air métro Q02.jpg,48.84134429839293,['métro de Paris/correspondance|6'],,['Métro de Paris/correspondance|6'],,,,,2.400912344455719,,['Charles de Gaulle - Étoile (métro de Paris)|Charles de Gaulle - Étoile'],"['1er', '1909 dans les chemins de fer|1909']",Bel-Air,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Daumesnil (métro de Paris)|Daumesnil'],,,,,['Picpus (métro de Paris)|Picpus'],,,,,,,,,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:2319026'],https://fr.wikipedia.org/w/index.php?title=Bel-Air_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Belleville (métro de Paris),,,,,,,24-12,,['Bus RATP/correspondances avec intitulé|20|71'],['Noctilien/correspondances avec intitulé|N12|N23'],,,,RATP,,Paris/20e arrondissement de Paris/19e arrondissement de Paris/10e arrondissement de Paris,Metro de Paris - Ligne 2 - Belleville 01.jpg,48.87208261362324,['Métro de Paris/correspondances|2|11'],,['Métro de Paris/correspondance|2'],['Métro de Paris/correspondance|11'],,,,2.376946806907654,,['Ligne 2 du métro de Paris|ligne 2'],"['Métro de Paris/correspondance|2', 'Date|31|janvier|1903|dans les chemins de fer', 'Métro de Paris/correspondance|11', 'Date|28|avril|1935|dans les chemins de fer']",Belleville,,['France'],,['Régie autonome des transports parisiens|RATP'],4.0,"['e', 'e', 'e', 'e']",['Colonel Fabien (métro de Paris)|Colonel Fabien'],['Goncourt (métro de Paris)|Goncourt'],,,,['Couronnes (métro de Paris)|Couronnes'],['Pyrénées (métro de Paris)|Pyrénées'],,,,,,Bus RATP,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:11558246'],https://fr.wikipedia.org/w/index.php?title=Belleville_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],4.0,1.0
Bercy (métro de Paris),,,,,,,13-07 et BCY,,['Bus RATP/correspondances nombreuses avec intitulé|24|71|77|87|215'],['Noctilien/correspondances avec intitulé|N32|N35|N130'],,,,RATP,,Paris/12e arrondissement de Paris,Metro de Paris - Bercy 02.jpg,48.8404280893475,['Métro de Paris/correspondances|6|14'],,['Métro de Paris/correspondance|6'],['Métro de Paris/correspondance|14'],,,,2.37958296880394,,Totem à l'entrée de la station.,"['Date|1|mars|1909|dans les chemins de fer', 'Métro de Paris/correspondances|6', 'Date|15|octobre|1998|dans les chemins de fer', 'Métro de Paris/correspondances|14']",Bercy,,['France'],,['Régie autonome des transports parisiens|RATP'],4.0,['e'],['Quai de la Gare (métro de Paris)|Quai de la Gare'],['Gare de Lyon (métro de Paris)|Gare de Lyon'],,,,['Dugommier (métro de Paris)|Dugommier'],['Cour Saint-Émilion (métro de Paris)|Cour Saint-Émilion'],,,,,240.0,Bus RATP,Noctilien,,,,Arrondissement,,['formatnum:5473870'],https://fr.wikipedia.org/w/index.php?title=Bercy_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],4.0,1.0
Bibliothèque François-Mitterrand (métro de Paris),,,,,,,15-03 et BIB,,['RER/correspondances avec intitulé|C'],"[""Tramway d'Île-de-France/correspondances avec intitulé|3a""]",['Bus RATP/correspondances avec intitulé|25|62|64|71|89|132|325'],['Noctilien/correspondances avec intitulé|N131|N133'],,RATP,,Paris/13e arrondissement de Paris,Station de Bibiotheque Nationale Ligne 14 - Quais 02-03-06.jpg,48.8296059726948,['Métro de Paris/correspondance|14'],,['Métro de Paris/correspondance|14'],,,,,2.3760926116913,,La station vue depuis la mezzanine.,['Date|15|octobre|1998|dans les chemins de fer'],Bibliothèque<br />François-Mitterrand,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Cour Saint-Émilion (métro de Paris)|Cour Saint-Émilion'],,,,,['Olympiades (métro de Paris)|Olympiades'],,,,,,,RER,Tramway,Bus RATP,Noctilien,,['Arrondissements de Paris|Arrondissement'],,['formatnum:15472531'],https://fr.wikipedia.org/w/index.php?title=Biblioth%C3%A8que_Fran%C3%A7ois-Mitterrand_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Billancourt (métro de Paris),,,,,,,28-09,,['Bus RATP/correspondances nombreuses avec intitulé|389'],['Noctilien/correspondances avec intitulé|N12|N61'],,,,RATP,,Paris et la petite couronne,Paris metro - Billancourt - 3.JPG,48.832089813946695,['Métro de Paris/correspondance|9'],,['Métro de Paris/correspondance|9'],,,,,2.2381773591041565,,['Pont de Sèvres (métro de Paris)|Pont de Sèvres'],['Date|3|février|1934|dans les chemins de fer'],Billancourt,,['France'],Souterraine,['Régie autonome des transports parisiens|RATP'],2.0,,['Pont de Sèvres (métro de Paris)|Pont de Sèvres'],,,,,['Marcel Sembat (métro de Paris)|Marcel Sembat'],,,,,,,Bus RATP,Noctilien,,,,,,['formatnum:2838189'],https://fr.wikipedia.org/w/index.php?title=Billancourt_(m%C3%A9tro_de_Paris)&action=raw,['Boulogne-Billancourt'],2.0,2.0
Bir-Hakeim (métro de Paris),,,,,,,1004.0,,"['RER/correspondances avec intitulé|C', 'Gare du Champ de Mars - Tour Eiffel|Champ de Mars - Tour Eiffel']",['Bus RATP/correspondances avec intitulé|30'],['Bus Optile/correspondances avec intitulé|Le Bus Direct|1|2'],,,RATP,,Paris/15e arrondissement de Paris,"Metro Bir-Hakeim, Paris 24 September 2016.jpg",48.853917,['Métro de Paris/correspondances|6'],,['Métro de Paris/correspondance|6'],,,,,2.289332,,,['date|24|avril|1906|dans les chemins de fer'],Bir-Hakeim<br /><small>''Tour Eiffel''</small>,Grenelle,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Passy (métro de Paris)|Passy'],,,,,['Dupleix (métro de Paris)|Dupleix'],,,,,,,"[""Réseau express régional d'Île-de-France|RER""]","[""Autobus d'Île-de-France|Bus""]",['Réseau de bus Le Bus Direct|Le Bus Direct'],,,['Arrondissements de Paris|Arrondissement'],,['formatnum:8157090'],https://fr.wikipedia.org/w/index.php?title=Bir-Hakeim_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,
Blanche (métro de Paris),,,,,,,3107.0,,"['Bus RATP/correspondances avec intitulé|30|54|68|74', 'Bus RATP/correspondances|OpenTour']",['Noctilien/correspondances avec intitulé|N01|N02'],,,,RATP,,Ligne 2 du métro de Paris/Paris/18e arrondissement de Paris/9e arrondissement de Paris,Metro de Paris - Ligne 2 - Blanche 02.jpg,48.883459,['Métro de Paris/correspondance|2'],,['Métro de Paris/correspondance|2'],,,,,2.333703,,Vue d'ensemble des quais.,['Date|21|octobre|1902|dans les chemins de fer'],Blanche,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Place de Clichy (métro de Paris)|Place de Clichy'],,,,,['Pigalle (métro de Paris)|Pigalle'],,,,,,,Bus RATP,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:4251153'],https://fr.wikipedia.org/w/index.php?title=Blanche_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Bobigny - Pablo Picasso (métro de Paris),,,,,,,312.0,,"[""Tramway d'Île-de-France/correspondances avec intitulé|1""]","['Bus RATP/correspondances nombreuses avec intitulé|134|146|148|234|251', 'Bus RATP/correspondances|301|303|322', 'Bus Optile/correspondances avec intitulé|TRA|615|620', 'Bus Optile/correspondances avec intitulé|CIF|93', 'Bus Optile/correspondances avec intitulé|TVF|8']",['Noctilien/correspondances avec intitulé|N13|N41|N45'],,,['Régie autonome des transports parisiens|RATP'],,Paris et la petite couronne,Metro - Paris - Ligne 5 - station Bobigny - Pablo Picasso 02.jpg,48.906538,['Métro de Paris/correspondances avec intitulé|5'],,['Métro de Paris/correspondance|5'],,,,,2.449994,,Les quais de la station.,['date|25|avril|1985'],Bobigny - Pablo Picasso <br /><small>''Préfecture - Hôtel du Département''</small>,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,,'''Terminus''',,,,,['Bobigny - Pantin - Raymond Queneau (métro de Paris)|Bobigny - Pantin - Raymond Queneau'],,,,,,,"[""Tramway d'Île-de-France|Tramway""]","[""Autobus d'Île-de-France|Bus""]",['Noctilien'],,,,,['formatnum:7135266'],https://fr.wikipedia.org/w/index.php?title=Bobigny_-_Pablo_Picasso_(m%C3%A9tro_de_Paris)&action=raw,['Bobigny'],3.0,3.0
Bobigny - Pantin - Raymond Queneau (métro de Paris),,,,,,,03-11,,['Bus RATP/correspondances avec intitulé|145|147|318|330'],['Noctilien/correspondances avec intitulé|N45'],,,,['Régie autonome des transports parisiens|RATP'],,Paris et la petite couronne,Pantin-Queneau-mezzanine.jpg,48.89540875087341,['Métro de Paris/correspondance|5'],,['Métro de Paris/correspondance|5'],,,,,2.424928843975067,,Escalier menant à la mezzanine de la station.,"['25 avril dans les chemins de fer|25 avril', '1985 dans les chemins de fer|1985']",Bobigny - Pantin -<br />Raymond Queneau,,['France'],,['Régie autonome des transports parisiens|RATP'],1.0,['Petit-Pantin'],['Bobigny - Pablo Picasso (métro de Paris)|Bobigny - Pablo Picasso'],,,,,['Église de Pantin (métro de Paris)|Église de Pantin'],,,,,,,Bus,Noctilien,,,,,,['formatnum:2371008'],https://fr.wikipedia.org/w/index.php?title=Bobigny_-_Pantin_-_Raymond_Queneau_(m%C3%A9tro_de_Paris)&action=raw,"['Bobigny', 'Pantin']",2.0,2-3
Boissière (métro de Paris),,,,,,,17-14,,['Bus RATP/correspondances nombreuses avec intitulé|22|30|82'],['Noctilien/correspondances avec intitulé|N53'],,,,RATP,,Paris/16e arrondissement de Paris,Boissiere-ramepart.jpg,48.86738608631612,['Métro de Paris/correspondances|6'],,['Métro de Paris/correspondance|6'],,,,,2.2903919219970703,,"['MP 73', ""Charles de Gaulle - Étoile (métro de Paris)|''Charles de Gaulle - Étoile''""]",['date|2|octobre|1900|dans les chemins de fer'],Boissière,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Kléber (métro de Paris)|Kléber'],,,,,['Trocadéro (métro de Paris)|Trocadéro'],,,,,,,"[""Autobus d'Île-de-France|Bus""]",['Noctilien'],,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:2150445'],https://fr.wikipedia.org/w/index.php?title=Boissi%C3%A8re_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
