Nom,Fermetrue,Ouverture,latitude,longitude,Nom de référence
Cluny,17 février 1988,2/15/1930 0:00:00,48.85105028,2.344273345,Cluny - La Sorbonne
Cluny - La Sorbonne,,17 février 1988,48.85105028,2.344273345,Cluny - La Sorbonne
Combat,19 août 1945,1/31/1903 0:00:00,48.877136,2.37116,Colonel Fabien
Colonel Fabien,,19 août 1945,48.877136,2.37116,Colonel Fabien
Commerce,,7/27/1937 0:00:00,48.845093,2.294215,Commerce
Concorde,,8/13/1900 0:00:00,48.866176,2.322397,Concorde
Convention,,11/5/1910 0:00:00,48.837419,2.296795,Convention
Pont de Flandres,10 février 1946,11/5/1910 0:00:00,48.89473,2.382307,Corentin Cariou
Corentin Cariou,,10 février 1946,48.89473,2.382307,Corentin Cariou
Petits Ménages,15 octobre 1945,3/24/1934 0:00:00,48.826833,2.278985,Corentin Celton
Corentin Celton,,15 octobre 1945,48.826833,2.278985,Corentin Celton
Corvisart,,04/24/1906 0:00:00,48.82980683,2.350508273,Corvisart
Cour Saint-Émilion,,10/15/1998 0:00:00,48.83333856,2.386632402,Cour Saint-Émilion
Courcelles,,10/7/1902 0:00:00,48.879401,2.304339,Courcelles
Couronnes,,1/31/1903 0:00:00,48.869521,2.379861,Couronnes
Créteil - L'Échat,,9/24/1973 0:00:00,48.79596297,2.449355721,Créteil - L'Échat
Créteil - Préfecture,,9/10/1974 0:00:00,48.77977215,2.459317446,Créteil - Préfecture
Créteil - Université,,9/10/1974 0:00:00,48.78975375,2.450785339,Créteil - Université
Crimée,,11/5/1910 0:00:00,48.89142,2.377377,Crimée
Croix de Chavaux,,10/14/1937 0:00:00,48.858055,2.435764,Croix de Chavaux
Croix-Rouge,9/2/1939 0:00:00,12/30/1923 0:00:00,48.8518943,2.329503894,Croix-Rouge
Danube,,1/18/1911 0:00:00,48.88180772,2.394201458,Danube
Daumesnil,,3/1/1909 0:00:00,48.8396443,2.395792007,Daumesnil
Denfert-Rochereau,,04/24/1906 0:00:00,48.8339013,2.332727909,Denfert-Rochereau
Charenton,12 juillet 1939,3/1/1909 0:00:00,48.83904937,2.389963567,Dugommier
Dugommier,,12 juillet 1939,48.83904937,2.389963567,Dugommier
Dupleix,,04/24/1906 0:00:00,48.85039234,2.293610573,Dupleix
Duroc,,12/30/1923 0:00:00,48.84682874,2.316479087,Duroc
École Militaire,,7/13/1913 0:00:00,48.85510987,2.306737304,École Militaire
Maisons-Alfort - École Vétérinaire,1er Janvier 1996,9/19/1970 0:00:00,48.81519006,2.421881855,École vétérinaire de Maisons-Alfort
École vétérinaire de Maisons-Alfort,,1/1/1996 0:00:00,48.81519006,2.421881855,École vétérinaire de Maisons-Alfort
Edgar Quinet,,04/24/1906 0:00:00,48.84104773,2.325083613,Edgar Quinet
Wilhem,15 mai 1921,9/30/1913 0:00:00,48.8471694,2.269020081,Église d'Auteuil
Église d'Auteuil,,15 mai 1921,48.8471694,2.269020081,Église d'Auteuil
Église de Pantin,,10/12/1942 0:00:00,48.89362771,2.412917912,Église de Pantin
Esplanade de La Défense,,4/1/1992 0:00:00,48.88784312,2.250442325,Esplanade de La Défense
Étienne Marcel,,4/21/1908 0:00:00,48.86411131,2.350607514,Étienne Marcel
Europe,,10/19/1904 0:00:00,48.878821,2.32238,Europe
