Nom,end_date,start_date,latitude,longitude,Nom de référence,Note
Marbeuf - Rond-point des Champs-Élysées,1946-10-30,1942-10-06,48.869712,2.30772,Marbeuf,Fusion
Franklin D. Roosevelt,,1946-10-30,48.869712,2.30772,Marbeuf,Renommé
Rond-point des Champs-Élysées,1942-10-06,1923-05-27,48.868507,2.309191,Rond-point des Champs-Élysées,
Marbeuf - Rond-point des Champs-Élysées,1946-10-30,1942-10-06,48.868507,2.309191,Rond-point des Champs-Élysées,Fusion
Franklin D. Roosevelt,,1946-10-30,48.868507,2.309191,Rond-point des Champs-Élysées,Renommé
Front Populaire,,2012-12-18,48.90689109,2.365793764,Front Populaire,
Gabriel Péri - Asnières - Gennevilliers,2008-06-14,1980-05-03,48.91657541,2.294388413,Gabriel Péri,
Gabriel Péri,,2008-06-14,48.91657541,2.294388413,Gabriel Péri,Renommé
Gaîté,,1937-01-21,48.83865393,2.322637439,Gaîté,
Gallieni,,1971-04-02,48.864936,2.416637,Gallieni,
Gambetta,,1905-01-25,48.864947,2.398451,Gambetta,
Gare d'Orléans,1930-10-15,1906-06-02,48.84262588,2.364970744,Gare d'Austerlitz,
Gare d'Orléans - Austerlitz,1985-04-25,1930-10-15,48.84262588,2.364970744,Gare d'Austerlitz,Renommé
Gare d'Austerlitz,,1985-04-25,48.84262588,2.364970744,Gare d'Austerlitz,Renommé
Gare de l'Est,1953-06-21,1907-11-15,48.87614188,2.358278632,Gare de l'Est,
Gare de l'Est - Verdun,,1953-06-21,48.87614188,2.358278632,Gare de l'Est,Renommé
Gare de Lyon,,1900-07-19,48.84470455,2.374065908,Gare de Lyon,
Gare du Nord,,1907-11-15,48.88057476,2.354931235,Gare du Nord,
Garibaldi,,1952-06-30,48.90639693,2.331907153,Garibaldi,
Alma,1920-05-27,1900-08-13,48.87198257,2.300462683,George V,
George V,,1920-05-27,48.87198257,2.300462683,George V,Renommé
Glacière,,1906-04-24,48.8311505,2.343384326,Glacière,
Goncourt,,1935-04-28,48.86983144,2.370686531,Goncourt,
Rue Montmartre,1998-09-01,1931-05-05,48.87142633,2.344341874,Grands Boulevards,
Grands Boulevards,,1998-09-01,48.87142633,2.344341874,Grands Boulevards,Renommé
Marcadet,1912-01-01,1911-02-26,48.892221,2.327174,Guy Môquet,
Marcadet - Balagny,1946-01-27,1912-01-01,48.892221,2.327174,Guy Môquet,Renommé
Guy Môquet,,1946-01-27,48.892221,2.327174,Guy Môquet,Renommé
Caumartin,1926-01-01,1904-10-19,48.873608,2.328325,Havre - Caumartin,
Havre - Caumartin,,1926-01-01,48.873608,2.328325,Havre - Caumartin,Renommé
Hoche,,1942-10-12,48.89149389,2.403143942,Hoche,
Hôtel de Ville,,1900-07-19,48.85676953,2.35149454,Hôtel de Ville,
Iéna,,1923-05-27,48.86446597,2.293379903,Iéna,
