De,Vers,Ouverture,Fermeture,Ligne
Aubervilliers - Pantin - Quatre Chemins,Fort d'Aubervilliers,1979-10-04,,Ligne 7
Fort d'Aubervilliers,Aubervilliers - Pantin - Quatre Chemins,1979-10-04,,Ligne 7
Fort d'Aubervilliers,La Courneuve - 8 Mai 1945,1987-05-06,,Ligne 7
La Courneuve - 8 Mai 1945,Fort d'Aubervilliers,1987-05-06,,Ligne 7
Charles Michels,Avenue Émile-Zola,1913-07-13,1937-07-27,Ligne 8
Avenue Émile-Zola,Charles Michels,1913-07-13,1937-07-27,Ligne 8
Avenue Émile-Zola,La Motte-Picquet - Grenelle,1913-07-13,1937-07-27,Ligne 8
La Motte-Picquet - Grenelle,Avenue Émile-Zola,1913-07-13,1937-07-27,Ligne 8
La Motte-Picquet - Grenelle,Champs de Mars,1913-07-13,1939-09-03,Ligne 8
Champs de Mars,La Motte-Picquet - Grenelle,1913-07-13,1939-09-03,Ligne 8
Champs de Mars,École Militaire,1913-07-13,1939-09-03,Ligne 8
École Militaire,Champs de Mars,1913-07-13,1939-09-03,Ligne 8
École Militaire,La Tour-Maubourg,1913-07-13,,Ligne 8
La Tour-Maubourg,École Militaire,1913-07-13,,Ligne 8
La Tour-Maubourg,Madeleine,1913-07-13,1913-12-24,Ligne 8
Madeleine,La Tour-Maubourg,1913-07-13,1913-12-24,Ligne 8
Madeleine,Opéra,1913-07-13,,Ligne 8
Opéra,Madeleine,1913-07-13,,Ligne 8
Charles Michels,Javel - André Citroën,1913-09-30,1937-07-27,Ligne 8
Javel - André Citroën,Charles Michels,1913-09-30,1937-07-27,Ligne 8
Javel - André Citroën,Église d'Auteuil,1913-09-30,1937-07-27,Ligne 8
Église d'Auteuil,Michel-Ange - Auteuil,1913-09-30,1937-07-27,Ligne 8
Michel-Ange - Auteuil,Porte d'Auteuil,1913-09-30,1937-07-27,Ligne 8
Mirabeau,Javel - André Citroën,1913-09-30,1937-07-27,Ligne 8
Chardon-Lagache,Mirabeau,1913-09-30,1937-07-27,Ligne 8
Michel-Ange - Molitor,Chardon-Lagache,1913-09-30,1937-07-27,Ligne 8
Porte d'Auteuil,Michel-Ange - Molitor,1913-09-30,1937-07-27,Ligne 8
La Tour-Maubourg,Invalides,1913-12-24,,Ligne 8
Invalides,La Tour-Maubourg,1913-12-24,,Ligne 8
Invalides,Madeleine,1913-12-24,1914-03-12,Ligne 8
Madeleine,Invalides,1913-12-24,1914-03-12,Ligne 8
Invalides,Concorde,1914-03-12,,Ligne 8
Concorde,Invalides,1914-03-12,,Ligne 8
Concorde,Madeleine,1914-03-12,,Ligne 8
Madeleine,Concorde,1914-03-12,,Ligne 8
Opéra,Richelieu - Drouot,1928-06-30,,Ligne 8
Richelieu - Drouot,Opéra,1928-06-30,,Ligne 8
Richelieu - Drouot,Grands Boulevards,1931-05-05,,Ligne 8
Grands Boulevards,Richelieu - Drouot,1931-05-05,,Ligne 8
Grands Boulevards,Bonne-Nouvelle,1931-05-05,,Ligne 8
Bonne-Nouvelle,Grands Boulevards,1931-05-05,,Ligne 8
Bonne-Nouvelle,Strasbourg - Saint-Denis,1931-05-05,,Ligne 8
Strasbourg - Saint-Denis,Bonne-Nouvelle,1931-05-05,,Ligne 8
Strasbourg - Saint-Denis,Saint-Martin,1931-05-05,1939-09-03,Ligne 8
Saint-Martin,Strasbourg - Saint-Denis,1931-05-05,1939-09-03,Ligne 8
Saint-Martin,République,1931-05-05,1939-09-03,Ligne 8
République,Saint-Martin,1931-05-05,1939-09-03,Ligne 8
République,Filles du Calvaire,1931-05-05,,Ligne 8
Filles du Calvaire,République,1931-05-05,,Ligne 8
Filles du Calvaire,Saint-Sébastien - Froissart,1931-05-05,,Ligne 8
Saint-Sébastien - Froissart,Filles du Calvaire,1931-05-05,,Ligne 8
Saint-Sébastien - Froissart,Chemin Vert,1931-05-05,,Ligne 8
Chemin Vert,Saint-Sébastien - Froissart,1931-05-05,,Ligne 8
Chemin Vert,Bastille,1931-05-05,,Ligne 8
Bastille,Chemin Vert,1931-05-05,,Ligne 8
Bastille,Ledru-Rollin,1931-05-05,,Ligne 8
Ledru-Rollin,Bastille,1931-05-05,,Ligne 8
Ledru-Rollin,Faidherbe - Chaligny,1931-05-05,,Ligne 8
Faidherbe - Chaligny,Ledru-Rollin,1931-05-05,,Ligne 8
Faidherbe - Chaligny,Reuilly - Diderot,1931-05-05,,Ligne 8
Reuilly - Diderot,Faidherbe - Chaligny,1931-05-05,,Ligne 8
Reuilly - Diderot,Montgallet,1931-05-05,,Ligne 8
Montgallet,Reuilly - Diderot,1931-05-05,,Ligne 8
Montgallet,Daumesnil,1931-05-05,,Ligne 8
Daumesnil,Montgallet,1931-05-05,,Ligne 8
Daumesnil,Michel Bizot,1931-05-05,,Ligne 8
Michel Bizot,Daumesnil,1931-05-05,,Ligne 8
Michel Bizot,Porte Dorée,1931-05-05,,Ligne 8
Porte Dorée,Michel Bizot,1931-05-05,,Ligne 8
Porte Dorée,Porte de Charenton,1931-05-05,,Ligne 8
Porte de Charenton,Porte Dorée,1931-05-05,,Ligne 8
La Motte-Picquet - Grenelle,Commerce,1937-07-27,,Ligne 8
Commerce,La Motte-Picquet - Grenelle,1937-07-27,,Ligne 8
Commerce,Félix Faure,1937-07-27,,Ligne 8
Félix Faure,Commerce,1937-07-27,,Ligne 8
Félix Faure,Boucicaut,1937-07-27,,Ligne 8
Boucicaut,Félix Faure,1937-07-27,,Ligne 8
Boucicaut,Lourmel,1937-07-27,,Ligne 8
Lourmel,Boucicaut,1937-07-27,,Ligne 8
Lourmel,Balard,1937-07-27,,Ligne 8
Balard,Lourmel,1937-07-27,,Ligne 8
La Motte-Picquet - Grenelle,École Militaire,1939-09-03,,Ligne 8
École Militaire,La Motte-Picquet - Grenelle,1939-09-03,,Ligne 8
Strasbourg - Saint-Denis,République,1939-09-03,,Ligne 8
République,Strasbourg - Saint-Denis,1939-09-03,,Ligne 8
Porte de Charenton,Liberté,1942-10-05,,Ligne 8
Liberté,Porte de Charenton,1942-10-05,,Ligne 8
Liberté,Charenton - Écoles,1942-10-05,,Ligne 8
Charenton - Écoles,Liberté,1942-10-05,,Ligne 8
Charenton - Écoles,École vétérinaire de Maisons-Alfort,1970-09-19,,Ligne 8
École vétérinaire de Maisons-Alfort,Charenton - Écoles,1970-09-19,,Ligne 8
École vétérinaire de Maisons-Alfort,Maisons-Alfort - Stade,1970-09-19,,Ligne 8
Maisons-Alfort - Stade,École vétérinaire de Maisons-Alfort,1970-09-19,,Ligne 8
Maisons-Alfort - Stade,Maisons-Alfort - Les Juilliottes,1972-04-27,,Ligne 8
Maisons-Alfort - Les Juilliottes,Maisons-Alfort - Stade,1972-04-27,,Ligne 8
Maisons-Alfort - Les Juilliottes,Créteil - L'Échat,1973-09-24,,Ligne 8
Créteil - L'Échat,Maisons-Alfort - Les Juilliottes,1973-09-24,,Ligne 8
Créteil - L'Échat,Créteil - Université,1974-09-10,,Ligne 8
Créteil - Université,Créteil - L'Échat,1974-09-10,,Ligne 8
Créteil - Université,Créteil - Préfecture,1974-09-10,,Ligne 8
Créteil - Préfecture,Créteil - Université,1974-09-10,,Ligne 8
Créteil - Préfecture,Pointe du Lac,2011-10-08,,Ligne 8
Pointe du Lac,Créteil - Préfecture,2011-10-08,,Ligne 8
Exelmans,Michel-Ange - Molitor,1922-11-08,,Ligne 9
Michel-Ange - Molitor,Exelmans,1922-11-08,,Ligne 9
Michel-Ange - Molitor,Michel-Ange - Auteuil,1922-11-08,,Ligne 9
Michel-Ange - Auteuil,Michel-Ange - Molitor,1922-11-08,,Ligne 9
Michel-Ange - Auteuil,Jasmin,1922-11-08,,Ligne 9
Jasmin,Michel-Ange - Auteuil,1922-11-08,,Ligne 9
Jasmin,Ranelagh,1922-11-08,,Ligne 9
Ranelagh,Jasmin,1922-11-08,,Ligne 9
Ranelagh,La Muette,1922-11-08,,Ligne 9
La Muette,Ranelagh,1922-11-08,,Ligne 9
La Muette,Rue de la Pompe,1922-11-08,,Ligne 9
Rue de la Pompe,La Muette,1922-11-08,,Ligne 9
Rue de la Pompe,Trocadéro,1922-11-08,,Ligne 9
Trocadéro,Rue de la Pompe,1922-11-08,,Ligne 9
Trocadéro,Iéna,1923-05-27,,Ligne 9
Iéna,Trocadéro,1923-05-27,,Ligne 9
Iéna,Alma - Marceau,1923-05-27,,Ligne 9
Alma - Marceau,Iéna,1923-05-27,,Ligne 9
Alma - Marceau,Rond-point des Champs-Élysées,1923-05-27,,Ligne 9
Rond-point des Champs-Élysées,Alma - Marceau,1923-05-27,,Ligne 9
Rond-point des Champs-Élysées,Saint-Philippe du Roule,1923-05-27,,Ligne 9
Saint-Philippe du Roule,Rond-point des Champs-Élysées,1923-05-27,,Ligne 9
Saint-Philippe du Roule,Miromesnil,1923-05-27,,Ligne 9
Miromesnil,Saint-Philippe du Roule,1923-05-27,,Ligne 9
Miromesnil,Saint-Augustin,1923-05-27,,Ligne 9
Saint-Augustin,Miromesnil,1923-05-27,,Ligne 9
Saint-Augustin,Havre - Caumartin,1923-06-03,,Ligne 9
Havre - Caumartin,Saint-Augustin,1923-06-03,,Ligne 9
Havre - Caumartin,Chaussée d'Antin - La Fayette,1923-06-03,,Ligne 9
Chaussée d'Antin - La Fayette,Havre - Caumartin,1923-06-03,,Ligne 9
Exelmans,Porte de Saint-Cloud,1923-09-29,,Ligne 9
Porte de Saint-Cloud,Exelmans,1923-09-29,,Ligne 9
Chaussée d'Antin - La Fayette,Richelieu - Drouot,1928-06-30,,Ligne 9
Richelieu - Drouot,Chaussée d'Antin - La Fayette,1928-06-30,,Ligne 9
Richelieu - Drouot,Grands Boulevards,1933-12-10,,Ligne 9
Grands Boulevards,Richelieu - Drouot,1933-12-10,,Ligne 9
Grands Boulevards,Bonne-Nouvelle,1933-12-10,,Ligne 9
Bonne-Nouvelle,Grands Boulevards,1933-12-10,,Ligne 9
Bonne-Nouvelle,Strasbourg - Saint-Denis,1933-12-10,,Ligne 9
Strasbourg - Saint-Denis,Bonne-Nouvelle,1933-12-10,,Ligne 9
Strasbourg - Saint-Denis,Saint-Martin,1933-12-10,1939-09-02,Ligne 9
Saint-Martin,Strasbourg - Saint-Denis,1933-12-10,1939-09-02,Ligne 9
Saint-Martin,République,1933-12-10,1939-09-02,Ligne 9
République,Saint-Martin,1933-12-10,1939-09-02,Ligne 9
République,Oberkampf,1933-12-10,,Ligne 9
Oberkampf,République,1933-12-10,,Ligne 9
Oberkampf,Saint-Ambroise,1933-12-10,,Ligne 9
Saint-Ambroise,Oberkampf,1933-12-10,,Ligne 9
Saint-Ambroise,Voltaire,1933-12-10,,Ligne 9
Voltaire,Saint-Ambroise,1933-12-10,,Ligne 9
Voltaire,Charonne,1933-12-10,,Ligne 9
Charonne,Voltaire,1933-12-10,,Ligne 9
Charonne,Rue des Boulets,1933-12-10,,Ligne 9
Rue des Boulets,Charonne,1933-12-10,,Ligne 9
Rue des Boulets,Nation,1933-12-10,,Ligne 9
Nation,Rue des Boulets,1933-12-10,,Ligne 9
Nation,Buzenval,1933-12-10,,Ligne 9
Buzenval,Nation,1933-12-10,,Ligne 9
Buzenval,Maraîchers,1933-12-10,,Ligne 9
Maraîchers,Buzenval,1933-12-10,,Ligne 9
Maraîchers,Porte de Montreuil,1933-12-10,,Ligne 9
Porte de Montreuil,Maraîchers,1933-12-10,,Ligne 9
Porte de Saint-Cloud,Marcel Sembat,1934-02-03,,Ligne 9
Marcel Sembat,Porte de Saint-Cloud,1934-02-03,,Ligne 9
Marcel Sembat,Billancourt,1934-02-03,,Ligne 9
Billancourt,Marcel Sembat,1934-02-03,,Ligne 9
Billancourt,Pont de Sèvres,1934-02-03,,Ligne 9
Pont de Sèvres,Billancourt,1934-02-03,,Ligne 9
Porte de Montreuil,Robespierre,1937-10-14,,Ligne 9
Robespierre,Porte de Montreuil,1937-10-14,,Ligne 9
Robespierre,Croix de Chavaux,1937-10-14,,Ligne 9
Croix de Chavaux,Robespierre,1937-10-14,,Ligne 9
Croix de Chavaux,Mairie de Montreuil,1937-10-14,,Ligne 9
Mairie de Montreuil,Croix de Chavaux,1937-10-14,,Ligne 9
Strasbourg - Saint-Denis,République,1939-09-02,,Ligne 9
République,Strasbourg - Saint-Denis,1939-09-02,,Ligne 9
Invalides,Varenne,1923-12-30,1937-07-27,Ligne 10
Varenne,Invalides,1923-12-30,1937-07-27,Ligne 10
Varenne,Saint-François-Xavier,1923-12-30,1937-07-27,Ligne 10
Saint-François-Xavier,Varenne,1923-12-30,1937-07-27,Ligne 10
Saint-François-Xavier,Duroc,1923-12-30,1937-07-27,Ligne 10
Duroc,Saint-François-Xavier,1923-12-30,1937-07-27,Ligne 10
Duroc,Vaneau,1923-12-30,,Ligne 10
Vaneau,Duroc,1923-12-30,,Ligne 10
Vaneau,Sèvres - Babylone,1923-12-30,,Ligne 10
Sèvres - Babylone,Vaneau,1923-12-30,,Ligne 10
Sèvres - Babylone,Croix-Rouge,1923-12-30,1939-09-03,Ligne 10
Croix-Rouge,Sèvres - Babylone,1923-12-30,1939-09-03,Ligne 10
Croix-Rouge,Mabillon,1925-03-10,1939-09-03,Ligne 10
Mabillon,Croix-Rouge,1925-03-10,1939-09-03,Ligne 10
Mabillon,Odéon,1926-02-14,,Ligne 10
Odéon,Mabillon,1926-02-14,,Ligne 10
Odéon,Cluny - La Sorbonne,1930-02-15,1939-09-03,Ligne 10
Cluny - La Sorbonne,Odéon,1930-02-15,1939-09-03,Ligne 10
Cluny - La Sorbonne,Maubert - Mutualité,1930-02-15,1939-09-03,Ligne 10
Maubert - Mutualité,Cluny - La Sorbonne,1930-02-15,1939-09-03,Ligne 10
Maubert - Mutualité,Place Monge,1930-02-15,1931-04-26,Ligne 10
Place Monge,Maubert - Mutualité,1930-02-15,1931-04-26,Ligne 10
Place Monge,Censier - Daubenton,1930-02-15,1931-04-26,Ligne 10
Censier - Daubenton,Place Monge,1930-02-15,1931-04-26,Ligne 10
Censier - Daubenton,Les Gobelins,1930-02-15,1931-04-26,Ligne 10
Les Gobelins,Censier - Daubenton,1930-02-15,1931-04-26,Ligne 10
Les Gobelins,Place d'Italie,1930-02-15,1931-04-26,Ligne 10
Place d'Italie,Les Gobelins,1930-02-15,1931-04-26,Ligne 10
Place d'Italie,Tolbiac,1930-03-07,1931-04-26,Ligne 10
Tolbiac,Place d'Italie,1930-03-07,1931-04-26,Ligne 10
Tolbiac,Maison Blanche,1930-03-07,1931-04-26,Ligne 10
Maison Blanche,Tolbiac,1930-03-07,1931-04-26,Ligne 10
Maison Blanche,Porte d'Italie,1930-03-07,1931-04-26,Ligne 10
Porte d'Italie,Maison Blanche,1930-03-07,1931-04-26,Ligne 10
Porte d'Italie,Porte de Choisy,1930-03-07,1931-04-26,Ligne 10
Porte de Choisy,Porte d'Italie,1930-03-07,1931-04-26,Ligne 10
Maubert - Mutualité,Cardinal Lemoine,1931-04-26,,Ligne 10
Cardinal Lemoine,Maubert - Mutualité,1931-04-26,,Ligne 10
Cardinal Lemoine,Jussieu,1931-04-26,,Ligne 10
Jussieu,Cardinal Lemoine,1931-04-26,,Ligne 10
Charles Michels,Avenue Émile-Zola,1937-07-27,,Ligne 10
Avenue Émile-Zola,Charles Michels,1937-07-27,,Ligne 10
Avenue Émile-Zola,La Motte-Picquet - Grenelle,1937-07-27,,Ligne 10
La Motte-Picquet - Grenelle,Avenue Émile-Zola,1937-07-27,,Ligne 10
Charles Michels,Javel - André Citroën,1937-07-27,,Ligne 10
Javel - André Citroën,Charles Michels,1937-07-27,,Ligne 10
Javel - André Citroën,Église d'Auteuil,1937-07-27,,Ligne 10
Église d'Auteuil,Michel-Ange - Auteuil,1937-07-27,,Ligne 10
Michel-Ange - Auteuil,Porte d'Auteuil,1937-07-27,,Ligne 10
Mirabeau,Javel - André Citroën,1937-07-27,,Ligne 10
Chardon-Lagache,Mirabeau,1937-07-27,,Ligne 10
Michel-Ange - Molitor,Chardon-Lagache,1937-07-27,,Ligne 10
Porte d'Auteuil,Michel-Ange - Molitor,1937-07-27,1980-10-03,Ligne 10
Duroc,La Motte-Picquet - Grenelle,1937-07-29,1937-09-29,Ligne 10
La Motte-Picquet - Grenelle,Duroc,1937-07-29,1937-09-29,Ligne 10
Duroc,Ségur,1937-09-29,,Ligne 10
Ségur,Duroc,1937-09-29,,Ligne 10
La Motte-Picquet - Grenelle,Ségur,1937-09-29,,Ligne 10
Ségur,La Motte-Picquet - Grenelle,1937-09-29,,Ligne 10
Gare d'Austerlitz,Jussieu,1939-07-12,,Ligne 10
Jussieu,Gare d'Austerlitz,1939-07-12,,Ligne 10
Odéon,Maubert - Mutualité,1939-09-03,1988-12-15,Ligne 10
Maubert - Mutualité,Odéon,1939-09-03,1988-12-15,Ligne 10
Sèvres - Babylone,Mabillon,1939-09-03,,Ligne 10
Mabillon,Sèvres - Babylone,1939-09-03,,Ligne 10
Boulogne - Jean Jaurès,Michel-Ange - Molitor,1980-10-03,,Ligne 10
Porte d'Auteuil,Boulogne - Jean Jaurès,1980-10-03,,Ligne 10
Boulogne - Jean Jaurès,Boulogne - Pont de Saint-Cloud,1981-10-02,,Ligne 10
Boulogne - Pont de Saint-Cloud,Boulogne - Jean Jaurès,1981-10-02,,Ligne 10
Odéon,Cluny - La Sorbonne,1988-12-15,,Ligne 10
Cluny - La Sorbonne,Odéon,1988-12-15,,Ligne 10
Cluny - La Sorbonne,Maubert - Mutualité,1988-12-15,,Ligne 10
Maubert - Mutualité,Cluny - La Sorbonne,1988-12-15,,Ligne 10
Châtelet,Hôtel de Ville,1935-04-28,,Ligne 11
Hôtel de Ville,Châtelet,1935-04-28,,Ligne 11
Hôtel de Ville,Rambuteau,1935-04-28,,Ligne 11
Rambuteau,Hôtel de Ville,1935-04-28,,Ligne 11
Rambuteau,Arts et Métiers,1935-04-28,,Ligne 11
Arts et Métiers,Rambuteau,1935-04-28,,Ligne 11
Arts et Métiers,République,1935-04-28,,Ligne 11
République,Arts et Métiers,1935-04-28,,Ligne 11
République,Goncourt,1935-04-28,,Ligne 11
Goncourt,République,1935-04-28,,Ligne 11
Goncourt,Belleville,1935-04-28,,Ligne 11
Belleville,Goncourt,1935-04-28,,Ligne 11
Belleville,Pyrénées,1935-04-28,,Ligne 11
Pyrénées,Belleville,1935-04-28,,Ligne 11
Pyrénées,Jourdain,1935-04-28,,Ligne 11
Jourdain,Pyrénées,1935-04-28,,Ligne 11
Jourdain,Place des Fêtes,1935-04-28,,Ligne 11
Place des Fêtes,Jourdain,1935-04-28,,Ligne 11
Place des Fêtes,Télégraphe,1935-04-28,,Ligne 11
Télégraphe,Place des Fêtes,1935-04-28,,Ligne 11
Télégraphe,Porte des Lilas,1935-04-28,,Ligne 11
Porte des Lilas,Télégraphe,1935-04-28,,Ligne 11
Porte des Lilas,Mairie des Lilas,1937-02-17,,Ligne 11
Mairie des Lilas,Porte des Lilas,1937-02-17,,Ligne 11
Mairie des Lilas,Serge Gainsbourg,2024-06-13,,Ligne 11
Serge Gainsbourg,Mairie des Lilas,2024-06-13,,Ligne 11
Serge Gainsbourg,Romainville - Carnot,2024-06-13,,Ligne 11
Romainville - Carnot,Serge Gainsbourg,2024-06-13,,Ligne 11
Romainville - Carnot,Montreuil - Hôpital,2024-06-13,,Ligne 11
Montreuil - Hôpital,Romainville - Carnot,2024-06-13,,Ligne 11
Montreuil - Hôpital,La Dhuys,2024-06-13,,Ligne 11
La Dhuys,Montreuil - Hôpital,2024-06-13,,Ligne 11
La Dhuys,Coteaux Beauclair,2024-06-13,,Ligne 11
Coteaux Beauclair,La Dhuys,2024-06-13,,Ligne 11
Coteaux Beauclair,Rosny - Bois-Perrier,2024-06-13,,Ligne 11
Rosny - Bois-Perrier,Coteaux Beauclair,2024-06-13,,Ligne 11
Notre-Dame-de-Lorette,Trinité - d'Estienne d'Orves,1910-11-05,1931-03-27,Ligne A
Trinité - d'Estienne d'Orves,Notre-Dame-de-Lorette,1910-11-05,1931-03-27,Ligne A
Trinité - d'Estienne d'Orves,Saint-Lazare,1910-11-05,1931-03-27,Ligne A
Saint-Lazare,Trinité - d'Estienne d'Orves,1910-11-05,1931-03-27,Ligne A
Saint-Lazare,Madeleine,1910-11-05,1931-03-27,Ligne A
Madeleine,Saint-Lazare,1910-11-05,1931-03-27,Ligne A
Madeleine,Concorde,1910-11-05,1931-03-27,Ligne A
Concorde,Madeleine,1910-11-05,1931-03-27,Ligne A
Concorde,Assemblée nationale,1910-11-05,1931-03-27,Ligne A
Assemblée nationale,Concorde,1910-11-05,1931-03-27,Ligne A
Assemblée nationale,Solférino,1910-11-05,1931-03-27,Ligne A
Solférino,Assemblée nationale,1910-11-05,1931-03-27,Ligne A
Solférino,Rue du Bac,1910-11-05,1931-03-27,Ligne A
Rue du Bac,Solférino,1910-11-05,1931-03-27,Ligne A
Rue du Bac,Sèvres - Babylone,1910-11-05,1931-03-27,Ligne A
Sèvres - Babylone,Rue du Bac,1910-11-05,1931-03-27,Ligne A
Sèvres - Babylone,Rennes,1910-11-05,1931-03-27,Ligne A
Rennes,Sèvres - Babylone,1910-11-05,1931-03-27,Ligne A
Rennes,Notre-Dame-des-Champs,1910-11-05,1931-03-27,Ligne A
Notre-Dame-des-Champs,Rennes,1910-11-05,1931-03-27,Ligne A
Notre-Dame-des-Champs,Montparnasse,1910-11-05,1931-03-27,Ligne A
Montparnasse,Notre-Dame-des-Champs,1910-11-05,1931-03-27,Ligne A
Montparnasse,Falguière,1910-11-05,1931-03-27,Ligne A
Falguière,Montparnasse,1910-11-05,1931-03-27,Ligne A
Falguière,Pasteur,1910-11-05,1931-03-27,Ligne A
Pasteur,Falguière,1910-11-05,1931-03-27,Ligne A
Pasteur,Volontaires,1910-11-05,1931-03-27,Ligne A
Volontaires,Pasteur,1910-11-05,1931-03-27,Ligne A
Volontaires,Vaugirard,1910-11-05,1931-03-27,Ligne A
Vaugirard,Volontaires,1910-11-05,1931-03-27,Ligne A
Vaugirard,Convention,1910-11-05,1931-03-27,Ligne A
Convention,Vaugirard,1910-11-05,1931-03-27,Ligne A
Convention,Porte de Versailles,1910-11-05,1931-03-27,Ligne A
Porte de Versailles,Convention,1910-11-05,1931-03-27,Ligne A
Notre-Dame-de-Lorette,Saint-Georges,1911-04-08,1931-03-27,Ligne A
Saint-Georges,Notre-Dame-de-Lorette,1911-04-08,1931-03-27,Ligne A
Saint-Georges,Pigalle,1911-04-08,1931-03-27,Ligne A
Pigalle,Saint-Georges,1911-04-08,1931-03-27,Ligne A
Pigalle,Lamarck - Caulaincourt,1912-10-31,1913-01-30,Ligne A
Lamarck - Caulaincourt,Pigalle,1912-10-31,1913-01-30,Ligne A
Lamarck - Caulaincourt,Jules Joffrin,1912-10-31,1931-03-27,Ligne A
Jules Joffrin,Lamarck - Caulaincourt,1912-10-31,1931-03-27,Ligne A
Pigalle,Abbesses,1913-01-30,1931-03-27,Ligne A
Abbesses,Pigalle,1913-01-30,1931-03-27,Ligne A
Abbesses,Lamarck - Caulaincourt,1913-01-30,1931-03-27,Ligne A
Lamarck - Caulaincourt,Abbesses,1913-01-30,1931-03-27,Ligne A
Jules Joffrin,Poissonniers,1916-08-23,1931-03-27,Ligne A
Poissonniers,Jules Joffrin,1916-08-23,1931-03-27,Ligne A
Poissonniers,Marx Dormoy,1916-08-23,1931-03-27,Ligne A
Marx Dormoy,Poissonniers,1916-08-23,1931-03-27,Ligne A
Marx Dormoy,Porte de la Chapelle,1916-08-23,1931-03-27,Ligne A
Porte de la Chapelle,Marx Dormoy,1916-08-23,1931-03-27,Ligne A
Notre-Dame-de-Lorette,Trinité - d'Estienne d'Orves,1931-03-27,,Ligne 12
Trinité - d'Estienne d'Orves,Notre-Dame-de-Lorette,1931-03-27,,Ligne 12
Trinité - d'Estienne d'Orves,Saint-Lazare,1931-03-27,,Ligne 12
Saint-Lazare,Trinité - d'Estienne d'Orves,1931-03-27,,Ligne 12
Saint-Lazare,Madeleine,1931-03-27,,Ligne 12
Madeleine,Saint-Lazare,1931-03-27,,Ligne 12
Madeleine,Concorde,1931-03-27,,Ligne 12
Concorde,Madeleine,1931-03-27,,Ligne 12
Concorde,Assemblée nationale,1931-03-27,,Ligne 12
Assemblée nationale,Concorde,1931-03-27,,Ligne 12
Assemblée nationale,Solférino,1931-03-27,,Ligne 12
Solférino,Assemblée nationale,1931-03-27,,Ligne 12
Solférino,Rue du Bac,1931-03-27,,Ligne 12
Rue du Bac,Solférino,1931-03-27,,Ligne 12
Rue du Bac,Sèvres - Babylone,1931-03-27,,Ligne 12
Sèvres - Babylone,Rue du Bac,1931-03-27,,Ligne 12
Sèvres - Babylone,Rennes,1931-03-27,1939-09-03,Ligne 12
Rennes,Sèvres - Babylone,1931-03-27,1939-09-03,Ligne 12
Rennes,Notre-Dame-des-Champs,1931-03-27,1939-09-03,Ligne 12
Notre-Dame-des-Champs,Rennes,1931-03-27,1939-09-03,Ligne 12
Notre-Dame-des-Champs,Montparnasse,1931-03-27,,Ligne 12
Montparnasse,Notre-Dame-des-Champs,1931-03-27,,Ligne 12
Montparnasse,Falguière,1931-03-27,,Ligne 12
Falguière,Montparnasse,1931-03-27,,Ligne 12
Falguière,Pasteur,1931-03-27,,Ligne 12
Pasteur,Falguière,1931-03-27,,Ligne 12
Pasteur,Volontaires,1931-03-27,,Ligne 12
Volontaires,Pasteur,1931-03-27,,Ligne 12
Volontaires,Vaugirard,1931-03-27,,Ligne 12
Vaugirard,Volontaires,1931-03-27,,Ligne 12
Vaugirard,Convention,1931-03-27,,Ligne 12
Convention,Vaugirard,1931-03-27,,Ligne 12
Convention,Porte de Versailles,1931-03-27,,Ligne 12
Porte de Versailles,Convention,1931-03-27,,Ligne 12
Notre-Dame-de-Lorette,Saint-Georges,1931-03-27,,Ligne 12
Saint-Georges,Notre-Dame-de-Lorette,1931-03-27,,Ligne 12
Saint-Georges,Pigalle,1931-03-27,,Ligne 12
Pigalle,Saint-Georges,1931-03-27,,Ligne 12
Lamarck - Caulaincourt,Jules Joffrin,1931-03-27,,Ligne 12
Jules Joffrin,Lamarck - Caulaincourt,1931-03-27,,Ligne 12
Pigalle,Abbesses,1931-03-27,,Ligne 12
Abbesses,Pigalle,1931-03-27,,Ligne 12
Abbesses,Lamarck - Caulaincourt,1931-03-27,,Ligne 12
Lamarck - Caulaincourt,Abbesses,1931-03-27,,Ligne 12
Jules Joffrin,Poissonniers,1931-03-27,,Ligne 12
Poissonniers,Jules Joffrin,1931-03-27,,Ligne 12
Poissonniers,Marx Dormoy,1931-03-27,,Ligne 12
Marx Dormoy,Poissonniers,1931-03-27,,Ligne 12
Marx Dormoy,Porte de la Chapelle,1931-03-27,,Ligne 12
Porte de la Chapelle,Marx Dormoy,1931-03-27,,Ligne 12
Porte de Versailles,Corentin Celton,1934-03-24,,Ligne 12
Corentin Celton,Porte de Versailles,1934-03-24,,Ligne 12
Corentin Celton,Mairie d'Issy,1934-03-24,,Ligne 12
Mairie d'Issy,Corentin Celton,1934-03-24,,Ligne 12
Sèvres - Babylone,Notre-Dame-des-Champs,1939-09-02,1968-05-20,Ligne 12
Notre-Dame-des-Champs,Sèvres - Babylone,1939-09-02,1968-05-20,Ligne 12
Sèvres - Babylone,Rennes,1968-05-20,,Ligne 12
Rennes,Sèvres - Babylone,1968-05-20,,Ligne 12
Rennes,Notre-Dame-des-Champs,1968-05-20,,Ligne 12
Notre-Dame-des-Champs,Rennes,1968-05-20,,Ligne 12
Porte de la Chapelle,Front Populaire,2012-12-18,,Ligne 12
Front Populaire,Porte de la Chapelle,2012-12-18,,Ligne 12
Front Populaire,Aimé Césaire,2022-05-31,,Ligne 12
Aimé Césaire,Front Populaire,2022-05-31,,Ligne 12
