OBJECTID,N_SQ_PE,L_EAU,C_DEP,C_NIVEAU,B_VISI,N_SQ_DE,SHAPE_Length,SHAPE_Area
291,750000616,,75,0,O,1,61.4613781918514,80.7671112934869
292,770000003,Canal de l'Ourcq,77,0,N,5,118.950345783603,288.363672943328
293,750000588,Plan d'Eau du Parc Floral,75,0,O,1,1274.17215002748,6820.29550380662
294,750000607,,75,0,O,1,76.1996511384513,413.719403448235
295,750000609,Plan d'Eau du Club d'Equitation Bayard,75,0,O,1,115.25831056374,770.145890409993
296,750000612,,75,0,O,1,150.094395472287,779.853982728633
297,750000635,Plan d'Eau de l'Ecole du Breuil,75,0,O,1,374.402405736254,1099.29540916214
298,750000636,Plan d'Eau de l'Arboretum de l'Ecole du Breuil,75,0,O,1,1827.02185041466,802.124969635767
299,750000653,,75,0,O,1,45.2557839703516,47.0844648954708
300,750000654,,75,0,O,1,29.3456418105133,46.0144730194341
301,750000655,,75,0,N,1,5.43445806086467,1.7463101708625
302,750000657,,75,0,N,1,9.51202719248549,4.59993323128464
303,750000659,,75,0,O,1,493.382181984699,1071.52722481154
304,750000660,,75,0,O,1,419.016670450632,1263.9321612919
305,770000001,,77,0,O,5,40161.4214161905,1229981.94244045
306,770000002,Canal de Chelles,77,0,O,5,11589.8280939185,132006.469870769
307,770000004,Canal de l'Ourcq,77,0,O,5,12809.4630504175,98553.8507278452
308,770000005,Etang de Vaires-Sur-Marne,77,0,O,5,5852.59080191014,867748.972472012
309,770000006,Marne,77,0,N,5,146.790420210977,243.103453509828
310,770000007,Marne,77,0,O,5,236390.344249749,8209758.3956437
311,770000008,Seine,77,0,O,5,243121.214532002,9972958.69081238
312,910000001,,91,0,O,7,1056.48100149032,30020.0232280091
313,770000010,Yonne,77,0,O,5,30943.7034012956,997548.677521252
314,780000002,Bassin de Neptune,78,0,O,6,492.575729876442,10655.59538761
315,910000001,,91,0,N,7,39.0476535795136,41.9821744588445
316,780000004,Etang de Saint-Quentin,78,0,O,6,9368.28822518739,1112962.2029364
317,780000005,Etang des Noes,78,0,O,6,2356.67988395091,228881.383129503
318,780000006,Grand Canal,78,0,O,6,5540.9030838771,237409.922389221
319,780000008,Pièce d'Eau des Suisses,78,0,O,6,1660.05098854129,141555.836254179
320,780000001,,78,0,O,6,53681.2231585899,3030940.44850889
321,780000009,Seine,78,0,N,6,2058.58191189535,15584.5660257223
322,910000001,,91,0,O,7,41.7155885280139,80.0232087722992
323,910000001,,91,0,O,7,154.169171026865,1443.0300000117
324,910000001,,91,0,O,7,398.213019366975,7022.2150002452
325,910000001,,91,0,O,7,564.896660388332,11761.2350002018
326,910000001,Etang de la justice,91,0,O,7,2670.64521034844,323204.312595817
327,910000001,,91,0,O,7,3698.36741572944,121698.040000261
328,910000001,,91,0,O,7,747.558819130617,15928.5450000323
329,920000003,Etang,92,0,O,2,2001.68869832126,27489.4888769744
330,920000004,Etang Colbert,92,0,O,2,537.154591172309,16461.4230062657
331,920000005,Etang Neuf,92,0,O,2,802.529635729481,30287.4318788034
332,910000001,,91,0,O,7,139.138403255092,569.354999976866
333,910000001,,91,0,O,7,246.750035675194,1397.46999999147
334,910000001,,91,0,O,7,283.687271009712,4927.88500002041
335,920000002,Bassin du Bel Air,92,0,O,2,589.627413951883,13583.3256055649
336,920000006,Etang de Brisemiche,92,0,O,2,355.211675532059,2131.93414473069
337,920000007,Etang de Chalais,92,0,O,2,666.680478482399,32055.706186386
338,920000008,Etang de Meudon,92,0,O,2,494.044905131803,15038.200287139
339,920000009,Etang de Retenue,92,0,O,2,969.85743625166,22590.8586853505
340,920000010,Etang de Saint Cucufa,92,0,O,2,720.886715599659,20963.8126016366
341,920000011,Etang de Trivaux,92,0,O,2,424.536534476614,9848.490377209
342,920000012,Etang de Villebon,92,0,O,2,584.585626146156,18091.2716458141
343,920000013,Etang de Villeneuve,92,0,O,2,727.340746335967,27294.5068111741
344,920000014,Etang du Soleil,92,0,O,2,247.80156824844,4116.09589990353
345,920000015,Grande Gerbe,92,0,O,2,202.100208745091,3248.47928057257
346,920000016,Lycee Professionnel Saint-Philippe,92,0,O,2,100.032625820464,610.642687138808
347,750000108,Seine,75,0,N,1,11962.8679230532,119042.014517097
348,750000036,Seine,75,0,O,1,45747.6280807493,1841251.68015192
349,920000021,Seine,92,0,O,2,1029.57041945829,36325.4950556758
350,920000021,Seine,92,0,N,2,221.051267680042,1599.83242130878
351,930000003,Canal Saint-Denis,93,0,N,3,237.93722238453,466.592609245934
352,910000001,,91,0,O,7,525.43218583612,8199.86999995925
353,910000001,,91,0,O,7,99.7728550719348,477.175000088662
354,910000001,,91,0,O,7,194.336295419484,998.879999844432
355,910000001,,91,0,O,7,1783.78146683327,6865.19499998532
356,910000001,,91,0,O,7,252.261022378005,4172.57499982081
357,910000001,,91,0,O,7,334.408133425897,954.599999770522
358,910000001,,91,0,O,7,132.377955522596,655.67499988284
359,910000001,,91,0,O,7,86.2570949245884,520.16500002224
360,910000001,,91,0,O,7,212.606730949229,1874.38499988109
361,910000001,,91,0,O,7,147.434013595264,1441.42000008479
362,910000001,,91,0,O,7,529.992092239684,19367.7831751037
363,910000001,,91,0,O,7,82.8545462912656,477.914999994859
364,910000001,,91,0,O,7,77.1053790743545,434.575000027567
365,910000001,,91,0,O,7,2020.85966207392,33022.8600000592
366,910000001,,91,0,O,7,442.986559792561,7653.539999898
367,910000001,Etang de la Place Verte,91,0,O,7,2702.48497307102,112082.142759291
368,910000001,,91,0,O,7,47.0210004182037,160.379999964759
369,910000001,,91,0,O,7,244.657279661704,2259.5300000836
370,910000001,,91,0,O,7,397.065708522685,5389.23500008617
371,910000001,,91,0,O,7,6725.40059310928,144376.390000482
372,910000001,,91,0,O,7,374.868636041022,4289.98499983937
