OBJECTID,N_SQ_PE,L_EAU,C_DEP,C_NIVEAU,B_VISI,N_SQ_DE,SHAPE_Length,SHAPE_Area
102,750000274,,75,0,O,1,28.4005981729491,64.0987292585335
103,750000280,,75,0,O,1,151.305001948351,431.090052475475
104,750000288,,75,0,O,1,6.86447176757341,2.23833750310019
105,750000291,,75,0,O,1,99.8460782536172,461.401968472622
106,750000320,,75,0,O,1,59.9933449561176,286.408046354843
107,750000321,,75,0,O,1,32.0148585692023,67.875834043951
108,750000322,,75,0,O,1,134.751682095137,493.827719031563
109,750000323,,75,0,O,1,10.561586074566,8.85451865346606
110,750000324,,75,0,O,1,104.633685246619,327.64478816601
111,750000325,,75,0,O,1,10.592602398268,8.90296777424215
112,750000328,,75,0,O,1,52.3864609010576,171.158741988605
113,750000330,,75,0,O,1,98.7051877262092,608.918161210775
114,750000332,,75,0,O,1,22.6573733506697,32.6166545102411
115,750000333,,75,0,O,1,98.9514730373557,611.961422881101
116,750000334,,75,0,O,1,23.6669151386958,34.8578255549841
117,750000335,,75,0,O,1,11.7076100363348,8.37588336123234
118,750000336,,75,0,O,1,74.6056166749611,305.133228290974
119,750000337,,75,0,O,1,143.491921706318,312.887000431395
120,750000369,,75,0,O,1,63.7310761010528,40.5542494661194
121,750000338,,75,0,O,1,107.972143905177,459.494367633404
122,750000339,,75,0,O,1,6.52364051949884,3.37516738840312
123,750000340,,75,0,O,1,115.444994729145,511.4774973356
124,750000341,,75,0,O,1,13.0882062351384,13.5995559364659
125,750000342,,75,0,O,1,259.754440912579,1715.45534416856
126,750000343,,75,0,O,1,351.751180012252,637.953508991696
127,750000344,,75,0,O,1,29.4957833590545,39.8366567704068
128,750000370,,75,0,O,1,36.4802459632528,20.9695421592203
129,750000372,,75,0,O,1,37.6623604299869,41.5321042299025
130,750000375,,75,0,O,1,47.5354349126772,129.372525158157
131,750000345,,75,0,O,1,213.425704667808,1678.82914045327
132,750000346,,75,0,O,1,56.1701475538889,250.712010157189
133,750000347,,75,0,O,1,24.3303650051475,47.0222079519264
134,750000348,,75,0,O,1,68.3958071064566,83.4832659987337
135,750000349,,75,0,O,1,26.2895099860674,27.8810119724106
136,750000350,,75,0,O,1,136.055850584438,243.194701083304
137,750000351,,75,0,O,1,15.4558915972624,16.0589764934404
138,750000352,,75,0,O,1,115.965235163647,577.384201298939
139,750000353,,75,0,O,1,97.1988977104716,230.928092497836
140,750000354,,75,0,O,1,80.114421796417,275.82268968307
141,750000355,,75,0,O,1,85.4086111304888,313.896856187101
142,750000356,,75,0,O,1,117.057834044408,353.542944511774
143,750000357,,75,0,O,1,84.6835940588301,307.083799152311
144,750000358,,75,0,O,1,84.4283374151042,306.276338996254
145,750000359,,75,0,O,1,116.107742406241,578.397812782764
146,750000360,,75,0,O,1,79.5364398162419,272.311996853101
147,750000361,,75,0,O,1,42.2733305222706,96.2628210055658
148,750000384,,75,0,O,1,186.829133877755,469.783683687613
149,750000390,,75,0,O,1,128.136530063692,1304.16142807548
150,750000391,,75,0,O,1,77.4046356252163,476.303045752238
151,750000392,,75,0,O,1,64.5005544874932,103.415675302667
152,750000393,,75,0,O,1,55.7770405460419,106.951817835846
153,750000394,,75,0,O,1,163.83851463047,376.98718155837
154,750000395,,75,0,O,1,34.9797260485639,97.3656589666842
155,750000396,,75,0,O,1,155.137964289552,1651.67410952971
156,750000397,,75,0,O,1,34.8932753194426,96.8854971400066
157,750000398,,75,0,O,1,539.778927748997,1720.40523814275
158,750000399,,75,0,O,1,122.788323375963,882.931045788809
159,750000400,,75,0,O,1,213.250450032499,3430.62519609193
160,750000401,,75,0,O,1,402.304896864068,1026.67144783109
161,750000402,,75,0,O,1,270.170390466727,569.132865785392
162,750000403,,75,0,O,1,45.3667524611641,163.77755959711
163,750000404,,75,0,O,1,81.8579355223493,532.733788729525
164,750000405,,75,0,O,1,23.4060945203619,43.59499697186
165,750000414,,75,0,O,1,61.714903682869,89.042181261155
166,750000415,,75,0,O,1,341.580567876404,825.068630615617
167,750000406,,75,0,O,1,23.4901651649815,43.9087288011902
168,750000407,,75,0,O,1,177.84966870184,359.562235939214
169,750000408,,75,0,O,1,19.3161886630703,29.689360999279
170,750000409,,75,0,O,1,46.1599380684911,169.554556515146
171,750000410,,75,0,O,1,238.259950377646,454.603013216542
172,750000411,,75,0,O,1,824.194878302457,1651.36143348349
173,750000412,,75,0,O,1,68.6867400336959,97.3461530462239
174,750000416,,75,0,O,1,287.074771061962,483.374844034179
175,750000417,,75,0,O,1,31.1728626596752,50.9317116487279
176,750000418,,75,0,O,1,23.5921253860919,44.2907371278283
177,750000419,,75,0,O,1,23.5362400461752,44.0811526389794
178,750000420,,75,0,O,1,49.0308867123494,119.911224211217
179,750000421,,75,0,O,1,49.4109131057278,122.381763201069
180,750000422,,75,0,O,1,17.5631593812159,24.5461702268366
181,750000437,,75,0,O,1,192.635808250421,961.257690640387
182,750000423,,75,0,O,1,27.9824614312409,36.154289780209
183,750000425,,75,0,O,1,38.7559520146682,113.29987115326
184,750000426,,75,0,O,1,28.9572527977879,66.725767816924
185,750000427,,75,0,O,1,28.8208275964512,66.0985318819766
186,750000428,,75,0,O,1,154.993212293601,267.05906747509
187,750000429,,75,0,O,1,28.9011863464752,66.4676333960054
